file,production_path,title,title_chars,description_chars,robots,canonical_preview,og_url_preview,sitemap_preview,schema_types
blog-kuda-shodit-na-svidanie-v-chelyabinske.html,/blog/kuda-shodit-na-svidanie-v-chelyabinske/,Куда сходить на свидание в Челябинске - Я Бао Завари,52,143,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kuda-shodit-na-svidanie-v-chelyabinske.html,https://neotwalker.github.io/Ya-bao-v3/blog-kuda-shodit-na-svidanie-v-chelyabinske.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-molochnyy-ulun.html,/blog/molochnyy-ulun/,Молочный улун: что это и как заваривать - Я Бао Завари,54,165,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-molochnyy-ulun.html,https://neotwalker.github.io/Ya-bao-v3/blog-molochnyy-ulun.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-shen-i-shu-puer-raznitsa.html,/blog/shen-i-shu-puer-raznitsa/,Шэн и Шу пуэр: в чём разница - Я Бао Завари,43,142,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-shen-i-shu-puer-raznitsa.html,https://neotwalker.github.io/Ya-bao-v3/blog-shen-i-shu-puer-raznitsa.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-smola-puera.html,/blog/smola-puera/,Смола пуэра: что это такое и как заваривать ча гао - Я Бао Завари,65,163,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-smola-puera.html,https://neotwalker.github.io/Ya-bao-v3/blog-smola-puera.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog.html,/blog/,Блог о китайском чае - Я Бао Завари,35,94,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog.html,https://neotwalker.github.io/Ya-bao-v3/blog.html,yes,BreadcrumbList | ListItem | WebPage
booking.html,/booking/,Бронирование - Я Бао Завари,27,65,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/booking.html,https://neotwalker.github.io/Ya-bao-v3/booking.html,no,CafeOrCoffeeShop | PostalAddress
chaynaya-ceremoniya.html,/chaynaya-ceremoniya/,Чайная церемония в Челябинске - Я Бао Завари,44,123,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/chaynaya-ceremoniya.html,https://neotwalker.github.io/Ya-bao-v3/chaynaya-ceremoniya.html,yes,BreadcrumbList | CafeOrCoffeeShop | City | ImageObject | ListItem | PostalAddress | Service | WebPage | WebSite
consent.html,/consent/,Согласие на обработку персональных данных - Я Бао Завари,56,55,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/consent.html,https://neotwalker.github.io/Ya-bao-v3/consent.html,no,CafeOrCoffeeShop | PostalAddress
contacts.html,/contacts/,"Контакты чайной Я Бао Завари - Челябинск, Кирова, 94",52,105,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/contacts.html,https://neotwalker.github.io/Ya-bao-v3/contacts.html,yes,BreadcrumbList | CafeOrCoffeeShop | ImageObject | ListItem | PostalAddress | WebPage | WebSite
event.html,— template only,Музыкальный вечер - пример страницы мероприятия | Я Бао Завари,62,122,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/event.html,https://neotwalker.github.io/Ya-bao-v3/event.html,no,BreadcrumbList | ListItem | WebPage
events.html,/events/,Мероприятия и афиша в Я Бао Завари - Челябинск,46,115,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/events.html,https://neotwalker.github.io/Ya-bao-v3/events.html,no — until real events,BreadcrumbList | CafeOrCoffeeShop | ListItem | PostalAddress | WebPage | WebSite
index.html,/,Чайная в Челябинске на Кирова - Я Бао Завари,44,120,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/,https://neotwalker.github.io/Ya-bao-v3/,yes,CafeOrCoffeeShop | ImageObject | PostalAddress | WebPage | WebSite
menu.html,/menu/,Меню и каталог в Челябинске - Я Бао Завари,42,126,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/menu.html,https://neotwalker.github.io/Ya-bao-v3/menu.html,yes,BreadcrumbList | CafeOrCoffeeShop | ImageObject | ListItem | PostalAddress | WebPage | WebSite
privacy.html,/privacy/,Политика обработки персональных данных - Я Бао Завари,53,56,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/privacy.html,https://neotwalker.github.io/Ya-bao-v3/privacy.html,no,CafeOrCoffeeShop | PostalAddress
